t [h]	I [A]	T [°C]	Q [Ah]	U [V]	P [W]	W [Wh]
0	0.54	25	1.2054803125	20.9995793	11.339772822	25.3145794169325
0.01001001001001	0.54	25	1.21088571790541	21.1255260847755	11.4077840857788	25.5805978192927
0.02002002002002	0.54	25	1.21629112331081	21.2514728695509	11.4757953495575	25.8479778085153
0.03003003003003	0.54	25	1.22169652871622	21.3774196543264	11.5438066133363	26.1167193846004
0.04004004004004	0.54	25	1.22710193412162	21.5033664391019	11.611817877115	26.3868225475478
0.05005005005005	0.54	25	1.23250733952703	21.6293132238773	11.6798291408938	26.6582872973578
0.0600600600600601	0.54	25	1.23791274493243	21.7552600086528	11.7478404046725	26.9311136340301
0.0700700700700701	0.54	25	1.24331815033784	21.8812067934282	11.8158516684513	27.2053015575649
0.0800800800800801	0.54	25	1.24872355574324	22.0071535782037	11.88386293223	27.4808510679622
0.0900900900900901	0.54	25	1.25412896114865	22.1331003629792	11.9518741960088	27.7577621652218
0.1001001001001	0.54	25	1.25953436655405	22.2590471477546	12.0198854597875	28.0360348493439
0.11011011011011	0.54	25	1.26493977195946	22.3849939325301	12.0878967235663	28.3156691203285
0.12012012012012	0.54	25	1.27034517736486	22.5109407173056	12.155907987345	28.5966649781755
0.13013013013013	0.54	25	1.27575058277027	22.636887502081	12.2239192511238	28.8790224228849
0.14014014014014	0.54	25	1.28115598817567	22.6535892426913	12.2329381910533	29.022781511946
0.15015015015015	0.54	25	1.28656139358108	22.668736837829	12.2411178924277	29.1647216568
0.16016016016016	0.54	25	1.29196679898649	22.6838844329667	12.249297593802	29.3068255594394
0.17017017017017	0.54	25	1.29737220439189	22.6990320281044	12.2574772951764	29.449093219864
0.18018018018018	0.54	25	1.3027776097973	22.7141796232422	12.2656569965508	29.5915246380739
0.19019019019019	0.54	25	1.3081830152027	22.7293272183799	12.2738366979251	29.734119814069
0.2002002002002	0.54	25	1.31358842060811	22.7444748135176	12.2820163992995	29.8768787478494
0.21021021021021	0.54	25	1.31899382601351	22.7596224086553	12.2901961006739	30.0198014394151
0.22022022022022	0.54	25	1.32439923141892	22.774770003793	12.2983758020482	30.1628878887661
0.23023023023023	0.54	25	1.32980463682432	22.7899175989307	12.3065555034226	30.3061380959023
0.24024024024024	0.54	25	1.33521004222973	22.8050651940685	12.314735204797	30.4495520608239
0.25025025025025	0.54	25	1.34061544763513	22.8202127892062	12.3229149061713	30.5931297835306
0.26026026026026	0.54	25	1.34602085304054	22.8353603843439	12.3310946075457	30.7368712640227
0.27027027027027	0.54	25	1.35142625844594	22.8485811743515	12.3382338341498	30.8781725672523
0.28028028028028	0.54	25	1.35683166385135	22.8617463508299	12.3453430294481	31.019541339744
0.29029029029029	0.54	25	1.36223706925676	22.8749115273083	12.3524522247465	31.161052438468
0.3003003003003	0.54	25	1.36764247466216	22.8880767037867	12.3595614200448	31.3027058634241
0.31031031031031	0.54	25	1.37304788006757	22.9012418802651	12.3666706153431	31.4445016146125
0.32032032032032	0.54	25	1.37845328547297	22.9144070567434	12.3737798106415	31.586439692033
0.33033033033033	0.54	25	1.38385869087838	22.9275722332218	12.3808890059398	31.7285200956858
0.34034034034034	0.54	25	1.38926409628378	22.9407374097002	12.3879982012381	31.8707428255707
0.35035035035035	0.54	25	1.39466950168919	22.9539025861786	12.3951073965365	32.0131078816879
